state,date,crop_type,planted_area,production
Johor,2017-01-01,paddy,3000.0,8563.0
Johor,2018-01-01,paddy,2866.0,9424.0
Johor,2019-01-01,paddy,2555.0,7704.0
Johor,2020-01-01,paddy,2547.0,7502.0
Johor,2021-01-01,paddy,2505.0,9031.0
Johor,2022-01-01,paddy,2776.0,10832.0
Kedah,2017-01-01,paddy,214585.0,939308.0
Kedah,2018-01-01,paddy,214592.0,955662.0
Kedah,2019-01-01,paddy,214252.0,859018.0
Kedah,2020-01-01,paddy,214328.0,914200.0
Kedah,2021-01-01,paddy,214880.0,906692.0
Kedah,2022-01-01,paddy,213718.0,834901.0
Kelantan,2017-01-01,paddy,74531.0,309582.0
Kelantan,2018-01-01,paddy,74149.0,319774.0
Kelantan,2019-01-01,paddy,71240.0,268831.0
Kelantan,2020-01-01,paddy,73717.0,305675.0
Kelantan,2021-01-01,paddy,74972.0,333868.0
Kelantan,2022-01-01,paddy,74017.0,272633.0
Melaka,2017-01-01,paddy,3510.0,12135.0
Melaka,2018-01-01,paddy,3135.0,9352.0
Melaka,2019-01-01,paddy,3360.0,9323.0
Melaka,2020-01-01,paddy,3360.0,8550.0
Melaka,2021-01-01,paddy,3462.0,10287.0
Melaka,2022-01-01,paddy,3318.0,10314.0
Negeri Sembilan,2017-01-01,paddy,2040.0,10261.0
Negeri Sembilan,2018-01-01,paddy,1896.0,7504.0
Negeri Sembilan,2019-01-01,paddy,1936.0,7670.0
Negeri Sembilan,2020-01-01,paddy,1989.0,8942.0
Negeri Sembilan,2021-01-01,paddy,1480.0,4662.0
Negeri Sembilan,2022-01-01,paddy,1313.0,4941.0
Pahang,2017-01-01,paddy,13006.0,28434.0
Pahang,2018-01-01,paddy,12300.0,34657.0
Pahang,2019-01-01,paddy,12435.0,31234.0
Pahang,2020-01-01,paddy,10572.0,35524.0
Pahang,2021-01-01,paddy,13639.0,50866.0
Pahang,2022-01-01,paddy,13757.0,51185.0
Perak,2017-01-01,paddy,81284.0,293715.0
Perak,2018-01-01,paddy,81699.0,292063.0
Perak,2019-01-01,paddy,81380.0,257605.0
Perak,2020-01-01,paddy,76201.0,232437.0
Perak,2021-01-01,paddy,74949.0,244397.0
Perak,2022-01-01,paddy,74594.0,269790.0
Perlis,2017-01-01,paddy,51531.0,231328.0
Perlis,2018-01-01,paddy,51612.0,240615.0
Perlis,2019-01-01,paddy,51612.0,209828.0
Perlis,2020-01-01,paddy,51598.0,203275.0
Perlis,2021-01-01,paddy,60478.0,256034.0
Perlis,2022-01-01,paddy,60470.0,233781.0
Pulau Pinang,2017-01-01,paddy,25564.0,146660.0
Pulau Pinang,2018-01-01,paddy,25564.0,133636.0
Pulau Pinang,2019-01-01,paddy,25564.0,128127.0
Pulau Pinang,2020-01-01,paddy,24210.0,121594.0
Pulau Pinang,2021-01-01,paddy,24210.0,136919.0
Pulau Pinang,2022-01-01,paddy,24210.0,122321.0
Sabah,2017-01-01,paddy,42157.0,110936.0
Sabah,2018-01-01,paddy,42442.0,122390.0
Sabah,2019-01-01,paddy,43546.0,112569.0
Sabah,2020-01-01,paddy,40446.0,117846.0
Sabah,2021-01-01,paddy,38732.0,112284.0
Sabah,2022-01-01,paddy,37323.0,107565.0
Sarawak,2017-01-01,paddy,120713.0,246305.0
Sarawak,2018-01-01,paddy,135426.0,265358.0
Sarawak,2019-01-01,paddy,109261.0,215491.0
Sarawak,2020-01-01,paddy,90865.2,167588.9
Sarawak,2021-01-01,paddy,83143.0,148903.0
Sarawak,2022-01-01,paddy,77943.0,147272.0
Selangor,2017-01-01,paddy,36708.0,165571.0
Selangor,2018-01-01,paddy,36868.0,174432.0
Selangor,2019-01-01,paddy,36602.0,174088.0
Selangor,2020-01-01,paddy,36004.0,159535.0
Selangor,2021-01-01,paddy,35885.0,155631.0
Selangor,2022-01-01,paddy,35539.0,153492.0
Terengganu,2017-01-01,paddy,16919.0,67715.0
Terengganu,2018-01-01,paddy,17431.0,74335.0
Terengganu,2019-01-01,paddy,18341.0,71382.0
Terengganu,2020-01-01,paddy,19071.0,73723.0
Terengganu,2021-01-01,paddy,19601.0,72023.0
Terengganu,2022-01-01,paddy,18957.0,62712.0
W.P. Kuala Lumpur,2017-01-01,paddy,0.0,0.0
W.P. Kuala Lumpur,2018-01-01,paddy,0.0,0.0
W.P. Kuala Lumpur,2019-01-01,paddy,0.0,0.0
W.P. Kuala Lumpur,2020-01-01,paddy,0.0,0.0
W.P. Kuala Lumpur,2021-01-01,paddy,0.0,0.0
W.P. Kuala Lumpur,2022-01-01,paddy,0.0,0.0
W.P. Labuan,2017-01-01,paddy,0.0,0.0
W.P. Labuan,2018-01-01,paddy,0.0,0.0
W.P. Labuan,2019-01-01,paddy,0.0,0.0
W.P. Labuan,2020-01-01,paddy,0.0,0.0
W.P. Labuan,2021-01-01,paddy,0.0,0.0
W.P. Labuan,2022-01-01,paddy,0.0,0.0
